test;yuza, sirt;surface;underwater;cost;different
test;The ....... of something is the top part or outside of it.;surface;underwater;cost;different
test;The <strong>....... </strong>of the moon is very rough.;surface;underwater;cost;different
listening;The surface of something is the top part or outside of it.;surface;underwater;cost;different
listening;The surface of the moon is very rough.;surface;underwater;cost;different
writing;yuza, sirt;surface;;;
writing;The ....... of something is the top part or outside of it.;surface;;;
writing;The <strong>....... </strong>of the moon is very rough.;surface;;;
speaking;yuza, sirt;surface;;;
speaking;The ....... of something is the top part or outside of it.;surface;;;
speaking;The <strong>....... </strong>of the moon is very rough.;surface;;;
test;bo'lim,qism;section;multiplication;memory;demonstrate
test;A ....... is a part of something larger.;section;multiplication;memory;demonstrate
test;The green <strong>....... </strong>of the graph is the most important part.;section;multiplication;memory;demonstrate
listening;A section is a part of something larger.;section;multiplication;memory;demonstrate
listening;The green section of the graph is the most important part.;section;multiplication;memory;demonstrate
writing;bo'lim,qism;section;;;
writing;A ....... is a part of something larger.;section;;;
writing;The green <strong>....... </strong>of the graph is the most important part.;section;;;
speaking;bo'lim,qism;section;;;
speaking;A ....... is a part of something larger.;section;;;
speaking;The green <strong>....... </strong>of the graph is the most important part.;section;;;
test;qarab chiqmoq;scan;skim;different;memory
test;To .... something is to look at it very carefully.;scan;skim;different;memory
test;You must <strong>.... </strong>each person closely.;scan;skim;different;memory
listening;To scan something is to look at it very carefully.;scan;skim;different;memory
listening;You must scan each person closely.;scan;skim;different;memory
writing;qarab chiqmoq;scan;;;
writing;To .... something is to look at it very carefully.;scan;;;
writing;You must <strong>.... </strong>each person closely.;scan;;;
speaking;qarab chiqmoq;scan;;;
speaking;To .... something is to look at it very carefully.;scan;;;
speaking;You must <strong>.... </strong>each person closely.;scan;;;
test;o'rinli;proper;innacurant;master;ahead
test;If something is ......, it is right.;proper;innacurant;master;ahead
test;It is not <strong>...... </strong>to throw your garbage on the road.;proper;innacurant;master;ahead
listening;If something is proper, it is right.;proper;innacurant;master;ahead
listening;It is not proper to throw your garbage on the road.;proper;innacurant;master;ahead
writing;o'rinli;proper;;;
writing;If something is ......, it is right.;proper;;;
writing;It is not <strong>...... </strong>to throw your garbage on the road.;proper;;;
speaking;o'rinli;proper;;;
speaking;If something is ......, it is right.;proper;;;
speaking;It is not <strong>...... </strong>to throw your garbage on the road.;proper;;;
test;xotira;memory;neglect;honesty;evidence
test;A ...... is something you remember.;memory;neglect;honesty;evidence
test;The <strong>...... </strong>of my first time in the city will always be the best.;memory;neglect;honesty;evidence
listening;A memory is something you remember.;memory;neglect;honesty;evidence
listening;The memory of my first time in the city will always be the best.;memory;neglect;honesty;evidence
writing;xotira;memory;;;
writing;A ...... is something you remember.;memory;;;
writing;The <strong>...... </strong>of my first time in the city will always be the best.;memory;;;
speaking;xotira;memory;;;
speaking;A ...... is something you remember.;memory;;;
speaking;The <strong>...... </strong>of my first time in the city will always be the best.;memory;;;
test;usta;master;unimportant;cost;different
test;A ...... is a person who is very good at something.;master;unimportant;cost;different
test;My brother is a <strong>...... </strong>of taekwondo.;master;unimportant;cost;different
listening;A master is a person who is very good at something.;master;unimportant;cost;different
listening;My brother is a master of taekwondo.;master;unimportant;cost;different
writing;usta;master;;;
writing;A ...... is a person who is very good at something.;master;;;
writing;My brother is a <strong>...... </strong>of taekwondo.;master;;;
speaking;usta;master;;;
speaking;A ...... is a person who is very good at something.;master;;;
speaking;My brother is a <strong>...... </strong>of taekwondo.;master;;;
test;ichki qism;inside;outside;common;above
test;...... means the inner part, space or side of something.;inside;outside;common;above
test;The <strong>...... </strong>of the box was empty.;inside;outside;common;above
listening;Inside means the inner part, space or side of something.;inside;outside;common;above
listening;The inside of the box was empty.;inside;outside;common;above
writing;ichki qism;inside;;;
writing;...... means the inner part, space or side of something.;inside;;;
writing;The <strong>...... </strong>of the box was empty.;inside;;;
speaking;ichki qism;inside;;;
speaking;...... means the inner part, space or side of something.;inside;;;
speaking;The <strong>...... </strong>of the box was empty.;inside;;;
test;mustaqil;independent;mutualist;master;inside
test;If something is ..........., it is not controlled by something else.;independent;mutualist;master;inside
test;She chose to live an <strong>........... </strong>life in the country.;independent;mutualist;master;inside
listening;If something is independent, it is not controlled by something else.;independent;mutualist;master;inside
listening;She chose to live an independent life in the country.;independent;mutualist;master;inside
writing;mustaqil;independent;;;
writing;If something is ..........., it is not controlled by something else.;independent;;;
writing;She chose to live an <strong>........... </strong>life in the country.;independent;;;
speaking;mustaqil;independent;;;
speaking;If something is ..........., it is not controlled by something else.;independent;;;
speaking;She chose to live an <strong>........... </strong>life in the country.;independent;;;
test;idioma;idiom;barbarism;proper;cost
test;An ..... is a phrase with a meaning different from its words.;idiom;barbarism;proper;cost
test;The <strong>..... </strong>“when pigs fly” means that something will never happen.;idiom;barbarism;proper;cost
listening;An idiom is a phrase with a meaning different from its words.;idiom;barbarism;proper;cost
listening;The idiom “when pigs fly” means that something will never happen.;idiom;barbarism;proper;cost
writing;idioma;idiom;;;
writing;An ..... is a phrase with a meaning different from its words.;idiom;;;
writing;The <strong>..... </strong>“when pigs fly” means that something will never happen.;idiom;;;
speaking;idioma;idiom;;;
speaking;An ..... is a phrase with a meaning different from its words.;idiom;;;
speaking;The <strong>..... </strong>“when pigs fly” means that something will never happen.;idiom;;;
test;odillik;honesty;unfairness;scan;surface
test;....... means the quality of being truthful or honest.;honesty;unfairness;scan;surface
test;A courtroom should be a place of <strong>.......</strong>.;honesty;unfairness;scan;surface
listening;Honesty means the quality of being truthful or honest.;honesty;unfairness;scan;surface
listening;A courtroom should be a place of honesty.;honesty;unfairness;scan;surface
writing;odillik;honesty;;;
